,GPA_Change,Skill_Retention_Score,Perceived_AI_Dependency,Anxiety_Level_During_Exams
AI_Study_Ratio,-0.158,-0.11,0.53,0.215
Traditional_Study_Hours,0.376,0.148,-0.103,-0.041
Weekly_GenAI_Hours,-0.046,-0.118,0.665,0.269
