AI_Hours_Group,Declined,Stable,Improved
0-2h,8.57,12.36,79.07
2-5h,7.51,11.76,80.73
5-10h,5.39,9.66,84.95
10-15h,5.35,9.45,85.2
15h+,13.94,10.55,75.51
