,Perceived_AI_Dependency
Weekly_GenAI_Hours,0.665
Total_Study_Hours,0.551
AI_Study_Ratio,0.53
AI_Study_Ratio_Percent,0.53
Anxiety_Level_During_Exams,0.308
Tool_Diversity,0.006
Pre_Semester_GPA,0.001
Post_Semester_GPA,-0.014
GPA_Change,-0.039
Skill_Retention_Score,-0.084
Traditional_Study_Hours,-0.103
