AI_Hours_Group,Low,Medium,High
0-2h,49.88,41.25,8.86
2-5h,43.72,44.38,11.9
5-10h,33.21,47.84,18.95
10-15h,19.47,46.45,34.09
15h+,5.76,29.49,64.75
