,GPA_Change
Traditional_Study_Hours,0.376
Post_Semester_GPA,0.277
Skill_Retention_Score,0.196
Total_Study_Hours,0.172
Tool_Diversity,0.081
Perceived_AI_Dependency,-0.039
Anxiety_Level_During_Exams,-0.04
Weekly_GenAI_Hours,-0.046
Pre_Semester_GPA,-0.104
AI_Study_Ratio_Percent,-0.158
AI_Study_Ratio,-0.158
