,Anxiety_Level_During_Exams
Perceived_AI_Dependency,0.308
Weekly_GenAI_Hours,0.269
Total_Study_Hours,0.223
AI_Study_Ratio_Percent,0.215
AI_Study_Ratio,0.215
Tool_Diversity,0.003
Pre_Semester_GPA,-0.001
Post_Semester_GPA,-0.016
GPA_Change,-0.04
Traditional_Study_Hours,-0.041
Skill_Retention_Score,-0.042
