,Skill_Retention_Score
Tool_Diversity,0.197
GPA_Change,0.196
Post_Semester_GPA,0.17
Traditional_Study_Hours,0.148
Pre_Semester_GPA,0.099
Total_Study_Hours,-0.024
Anxiety_Level_During_Exams,-0.042
Perceived_AI_Dependency,-0.084
AI_Study_Ratio,-0.11
AI_Study_Ratio_Percent,-0.11
Weekly_GenAI_Hours,-0.118
